#https
#cuts
#val err
54.036411 77.8751316014
64.642853 109.9061493726
79.989861 134.94269798
102.558601 187.882432277
117.885277 196.6046869441
144.438644 218.5597898071
169.591827 250.966883839
189.421356 311.0159525885
217.308289 303.3649333615
239.79628 409.4199467447
264.845367 432.0645435789
293.845337 352.5873034889
310.750702 433.5396341206
327.265289 503.8813728104
341.867035 554.20664434
355.774994 545.50716584
366.371979 553.9420083169
376.419739 609.2233605093
384.885651 727.5433848786
386.758514 680.8045821621
386.586029 546.3472293571
387.487213 525.7950756723
387.127563 503.5133042955
388.420349 603.0291114707
383.504913 484.6982334047
381.801727 482.4935654994
377.167084 597.1384768377
379.746979 522.9496222674
380.561584 516.1812461972
385.319244 517.432148634
383.413147 550.3204027712
386.578918 552.6285219821
386.006348 567.8900502273
386.889374 616.967102809
381.670563 636.8704848421
377.01886 663.3830597072
375.869873 592.8350208561
370.366089 618.2082179151
359.696899 548.9338503479
346.070648 440.4200546223
329.812164 436.7702845502
311.350769 418.48198443
301.909454 560.7199438115
277.433777 471.0237448145
251.136673 396.6394286324
216.640625 317.6681918059
192.928421 240.3638371898
167.411911 210.7373233936
144.679352 222.9077135651
119.053421 177.1950045551
99.394302 139.3629910382
84.29689 153.3147670309
66.683052 85.4394770796
54.59211 83.9513895403
