#https
#cuts
#val err
31.981182 30.6560398017
36.843636 29.1873773652
44.438866 31.8013993857
54.790825 61.9690443884
58.010597 74.2114483705
70.670776 51.2423424317
81.601006 60.6394707982
90.535728 68.23702024
99.89798 85.0050707438
108.606071 108.4646908755
119.227112 102.8669829896
134.486374 116.4523196916
139.035431 82.8148681567
144.648254 107.0626859811
149.325729 133.3194512273
156.169312 116.6887725139
161.944244 106.0200341533
164.416061 116.3079249596
167.335403 113.167858827
170.211685 126.3504187081
170.469543 108.6713345907
171.561996 122.3344114729
172.428848 130.7940536715
170.988998 93.1631693634
172.743362 136.6917621561
168.253296 108.9629739207
170.847931 111.2956762748
166.887863 125.6746355764
167.947479 112.8787149798
171.370483 117.8733270027
168.80162 120.600572124
169.298233 123.3835314534
167.525314 153.1998200809
168.943146 128.8782417733
172.544403 160.2410619946
167.224487 114.6069688266
165.526779 114.4052742825
161.916702 105.6755253691
156.489014 112.5275617557
153.884933 110.0810690162
146.539322 84.594470319
138.932495 83.9575165511
134.296387 113.9731080109
126.344467 122.0638112718
114.673492 92.6882704862
102.929977 54.4151064776
92.965225 73.6875399018
78.790703 76.3963136831
69.91008 58.0766667633
60.091244 54.0192115394
53.077797 46.6584500328
44.576221 37.116641489
36.651417 30.463481098
32.023609 30.9423091061
