#https
#cuts
#val err
62.266682 83.1490544297
75.901955 127.5577727294
95.732384 148.2581143899
118.414955 213.1228670276
139.675171 221.4555412666
169.380569 294.100794443
198.873245 336.9498329468
219.899948 511.238545108
255.162186 461.6249992482
285.861542 526.7535074355
312.427917 684.9359732044
348.88504 489.0274365946
374.343811 532.7698560588
393.79306 664.4796472819
414.179504 667.8351989932
430.310211 697.3492336603
438.514313 885.5759020908
455.613708 859.943609814
465.546295 1006.9299319694
470.603699 1047.1339157812
470.187927 939.8854185945
471.311584 943.1141437836
463.689178 870.7643981802
465.068848 747.1389819553
462.258728 747.7790798673
456.643127 869.8974703593
458.22583 792.3466936064
460.848511 672.7371455261
461.233063 679.2468242396
456.373718 956.2358390247
464.520935 760.9842433176
462.143951 927.0846650206
464.447296 888.2466374295
467.416901 839.4368425332
469.908325 1019.9546512595
463.232422 919.63895515
455.347626 850.4830864158
445.483917 794.0761518544
434.61377 793.669461904
414.737671 650.412093991
392.173981 716.1910109001
373.014435 570.7283240792
359.526581 780.386641088
323.299316 382.6917749051
294.622528 485.6323697876
259.716553 350.3203999653
226.878723 337.3889400055
198.70874 333.2901702006
171.365479 336.9426913654
140.083511 214.1291011613
116.670486 166.7972721064
96.030296 128.4204790646
78.311104 96.6208688477
64.196358 105.9183819233
