#https
#cuts
#val err
38.594719 43.7331197509
45.380497 45.0756736663
53.42812 42.5780922394
64.949959 69.7186524543
70.507156 102.1995504643
83.639542 99.2742456109
98.592331 82.9700934712
109.010262 126.1944791704
125.262039 96.7887080011
135.156738 147.1493915843
148.271851 146.3513521358
160.894394 139.9951019402
173.098358 124.5648542882
182.557175 130.2209795225
187.816132 180.0906241436
198.984909 190.7292134291
200.527115 187.2040939834
207.959259 200.2789147332
213.420883 248.4700225536
210.787964 189.215477741
213.56636 189.3977305363
215.354446 205.392423692
213.599411 163.7231790076
211.910278 176.5000279365
214.703812 185.3400690905
211.560455 153.4980156422
212.007523 144.8870274654
210.022324 175.395871471
210.292587 173.1901280296
211.195206 171.3160489032
213.971588 173.0292832887
213.987946 175.347472872
211.163223 210.6250339622
208.983978 244.0765714511
212.093079 188.044201602
207.970657 197.8880313783
205.380814 183.7012923741
206.093719 233.084908546
198.512131 182.873469083
189.706711 150.5648644201
181.236877 149.1830879396
173.282166 122.0831817368
167.909637 187.837422615
155.540833 162.6354428311
142.835556 148.5207020044
124.596375 104.9146280557
112.501633 83.0141205243
99.093086 77.5168063907
87.021461 74.7894285792
72.766289 76.3185032192
64.856735 68.7757143075
54.717468 58.3092201457
45.099613 31.4808242398
40.467052 60.0826375539
