#https
#cuts
#val err
43.367561 51.0517547047
50.822456 48.76904725
63.545067 76.1897526636
76.095177 91.0216216254
85.056892 125.1674809392
103.290581 101.8891059917
119.889488 111.2734621373
137.344238 122.7661979332
148.498505 221.4246216377
167.207977 199.1507916319
183.41658 205.2916711003
205.672882 243.2576102856
210.72052 237.8583345952
225.671463 199.1602112347
231.942566 261.2167874404
244.431686 255.8437393539
251.179947 280.0234397278
253.6465 242.1905264256
258.258545 275.9905167145
263.035919 333.3111679778
265.004822 349.8458923856
260.270447 255.5823807916
262.187592 277.6362827988
260.117737 217.2022292097
259.362518 203.4555915741
257.078735 222.8483057325
256.199585 232.2495585377
254.677002 261.3175235331
256.607605 231.4812044777
256.813324 250.0651576438
257.319122 270.2429595068
258.85321 267.272806261
258.908752 282.7348618313
258.058533 299.4163822145
257.422333 289.0680453423
256.332825 262.9882103671
257.544006 325.4753340292
252.236465 301.9309954985
240.323273 265.0983771314
232.202835 256.127490641
222.916916 236.073455016
213.281219 192.2657031247
207.915421 287.640672098
190.667496 218.6301464314
174.495514 198.0352305859
153.146912 145.3125164544
135.062759 148.235406224
120.580269 114.6056802698
102.85273 107.3334165446
87.54657 93.5929685282
75.267883 81.6787521711
63.793167 78.8454392819
52.116383 38.4014000901
43.453327 51.7995215826
