#https
#cuts
#val err
27.773668 24.9685327045
30.53904 19.268107842
37.362217 23.9596740586
44.966503 34.2800355299
48.431343 42.4351263606
58.29813 30.571010672
67.122414 36.0040268603
74.049423 42.1558518995
80.54258 61.515690882
89.056839 61.2243746732
98.134621 52.0243084529
109.408707 76.5594468389
111.944122 56.6766509579
118.474289 52.4676273472
122.381935 65.0287136696
127.258469 66.5264444636
129.171936 78.2597179359
133.873077 82.6986799897
136.801697 97.0973145385
137.126205 86.8450866257
137.722244 63.968577718
138.123138 62.0298055978
136.633652 74.317207409
137.282761 62.0644452426
138.546844 87.2007303667
137.745209 78.9713786465
135.097687 71.4246412299
132.70134 98.1695722536
135.617691 66.9473125164
135.619797 71.9818456277
137.394196 73.8051138803
134.681396 96.1875272491
135.316132 91.8202344608
136.532318 76.0627331318
133.853714 97.6407204123
134.742462 73.9941843746
131.940414 79.2077168554
132.156128 88.4153458068
127.080917 62.5269939877
124.713684 76.7774378742
120.079979 73.2424750871
109.835976 77.6149217674
108.119164 63.4557807223
101.595047 64.6213085349
90.007935 52.5106301281
82.689293 42.7480751384
75.272392 36.8094036659
66.532684 32.9891364871
57.818527 33.8800566515
49.914921 31.4985219931
44.746624 32.7328111184
37.347755 23.8736850943
31.349911 15.1835341976
26.568764 18.1849984819
