#https
#cuts
#val err
21.5 9.0
22.0 9.0
22.0 8.41
22.2 9.0
22.1 8.41
22.0 9.0
22.2 9.0
22.0 9.0
21.9 8.41
21.7 8.41
21.4 9.0
21.0 10.24
20.8 8.41
17.2 7.29
17.7 6.25
17.1 6.76
16.8 7.84
16.8 5.76
16.3 5.76
16.4 5.29
15.9 11.56
14.3 4.0
14.4 3.61
14.4 3.24
13.8 4.0
13.4 3.24
13.2 3.24
12.6 2.89
12.4 2.56
11.7 2.56
11.4 2.89
10.9 2.25
10.3 2.25
9.85 2.89
